album,artist,lyrics,title
Active Duty (2001),MC Hammer,"What Happened to our Hood?,Things ain't the same no more, no more,What happened to our hood?,It used to be all good.,Now everything is out of control.,It hurts me deep inside to see our people dying. Why o Why, why?,We used to play games all night long now all my loved 1's are gone This ain't even cool it ain't even cool,Now I'm gonna tell you how it all got started. We was all young hard headed & broken hearted got caught up in the game, caught up in the hustle next thing you know we comin' with the muscle. Respect for the streets was invented in our souls but that's the way you moved if you wanted to grow old. Sooner or later somebody always caught a case but we was like A students in your mama's face. We knew the rules, respect for the king. My o My how the good can change Every fool you know saying Keep it Real but we was still real w/out our steel. 1 on 1, man to man & after we scrapped we shook hands, for the good of the hood & the hood was good that's what really? we misunderstood?,What happened to our hood?,It used to be all good.,Now everything is out of control.,It hurts me deep inside to see our people dying. Why o Why, why?,We used to play games all night long now all my loved 1's are gone This ain't even cool it ain't even cool,Now every little thug wanna try to get stripes, but you ain't a man cause ya stole somebody's life, cause there's a bullet with your name on it another young thug wants stripes don't you know it. The world is mad (hardest?) on our kids babies in the ground even tho they could live. Dead and gone in their teenage years by the hands of their peers. The memories so vivid & clear, we'll be missing you for years, we'll be missing you with tears, we'll be wishing you were here. Life & pain they're 1 and the same & all of our lives we'll speak your name. It hurts deep to know that you are gone, it hurts me to have to sing this song.,What happened to our hood?,It used to be all good.,Now everything is out of control.,It hurts me deep inside to see our people dying. Why o Why, why?,We used to play games all night long now all my loved 1's are gone This ain't even cool it ain't even cool,I gotta move on but moving is hard & I gotta think because of this I found God. Our world will never be the same. My heart will always know the pain and my lips will always speak your name, your face I'll see in the rain. I miss you, miss you, I'll miss you now and for always.,What happened to our hood?,It used to be all good.,Now everything is out of control.,It hurts me deep inside to see our people dying. Why o Why, why?,We used to play games all night long now all my loved 1's are gone This ain't even cool it ain't even cool
,
,
",MC Hammer:What Happened To Our Hood
,,,
,,,
,,,
,,,
,,,
,MC Hammer,"He has done great things for me,Great things, great things,He has done great things for me,He has made a way for me,Made a way, made a way,He has made a way for me,He will give you victory,Victory, victory,He will give you victory,I'm gonna be a witness for Him,Witness, witness,I'm gonna be a witness for Him,I'm gonna let my little light shine,Shine, shine,I'm gonna let my little light shine
,
,
",MC Hammer:He Keeps Doing Great Things For Me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,MC Hammer,"Chorus (4x):,Pumps and a bump, Pumps and a bump, we like the girls with the Pumps and a bump!,Verse 1:,Just when I thought could I hit another one,So up jumps see me with the pumps and a bump,All stiggitty stiggity girls, getting on my good nerves,Looking like ice cream ready to be served,Wreck it, check it, can I get in it,If you wanna kick it with a G baby here's me,Cause I come equipped, I'm a pimp, a slippity slip, I suppose you take a trip,Chorus(4x),Pumps and a bump, now many say a big butt,But if you're hip you know that it's a phone crud,It's making the brothers go crazy in the 2-G,Shake like a bottle girl fine as wine G,So when I here I got a step (to a fine thing),Never been a coward (cause it's a eastside thing),Just step right up to the girl with the big butt,Tell her what's up you got the pumps and a bump,Bridge:,Men: Ooooh! Everyone for the rest of your life there's a girl fucking tight!,Ladies! All everyone there's a man who is tight who can hit it all night!,We gotta get the pumps!,Chorus(4x),I don't like 'em stiggity fat! (No!),I like 'em stiggity stacked (Yeah!),You wiggity wiggity wack if you ain't got biggity back (Awwww!),So when you hear the rump shaking on the dance floor,Keep you bottling get your eyes and get hypnotized,But a nigga like me will dance up to some chopping and chewing,Keep em bottling you know I keep 'em bobbing,I put my fingerprints all over that rump,I'm guilty as hell but I love the pumps and the bump! (Ow!),Chorus (4x),Bridge
,
,
",MC Hammer:Pumps And A Bump
,,,
,,,
,,,
,,,
